TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
0.0,all,1.0,7327,7327,83.60857103862426,6126
0.0,armed conflicts and attacks,1.0,1956,1956,89.31492842535788,1747
0.0,politics and elections,1.0,1328,1328,79.2921686746988,1053
0.0,law and crime,1.0,1196,1196,74.33110367892976,889
0.0,disasters and accidents,1.0,1115,1115,90.94170403587444,1014
0.0,business and economy,1.0,527,527,79.12713472485768,417
0.0,sport,1.0,508,508,92.1259842519685,468
0.0,arts and culture,1.0,401,401,72.81795511221945,292
0.0,science and technology,1.0,296,296,83.10810810810811,246
0.1,all,1.0,7327,7327,83.62221918929986,6127
0.1,armed conflicts and attacks,1.0,1956,1956,89.31492842535788,1747
0.1,politics and elections,1.0,1328,1328,79.21686746987952,1052
0.1,law and crime,1.0,1196,1196,74.41471571906355,890
0.1,disasters and accidents,1.0,1115,1115,90.94170403587444,1014
0.1,business and economy,1.0,527,527,79.12713472485768,417
0.1,sport,1.0,508,508,92.1259842519685,468
0.1,arts and culture,1.0,401,401,73.06733167082294,293
0.1,science and technology,1.0,296,296,83.10810810810811,246
0.2,all,1.0,7327,7327,83.62221918929986,6127
0.2,armed conflicts and attacks,1.0,1956,1956,89.31492842535788,1747
0.2,politics and elections,1.0,1328,1328,79.2921686746988,1053
0.2,law and crime,1.0,1196,1196,74.33110367892976,889
0.2,disasters and accidents,1.0,1115,1115,90.94170403587444,1014
0.2,business and economy,1.0,527,527,78.93738140417457,416
0.2,sport,1.0,508,508,92.1259842519685,468
0.2,arts and culture,1.0,401,401,73.31670822942644,294
0.2,science and technology,1.0,296,296,83.10810810810811,246
0.3,all,0.9995905554797325,7324,7327,83.64281813216822,6126
0.3,armed conflicts and attacks,0.9994887525562373,1955,1956,89.36061381074168,1747
0.3,politics and elections,0.9992469879518072,1327,1328,79.35192162773173,1053
0.3,law and crime,1.0,1196,1196,74.33110367892976,889
0.3,disasters and accidents,1.0,1115,1115,90.94170403587444,1014
0.3,business and economy,1.0,527,527,78.74762808349146,415
0.3,sport,1.0,508,508,92.1259842519685,468
0.3,arts and culture,1.0,401,401,73.31670822942644,294
0.3,science and technology,0.9966216216216216,295,296,83.38983050847457,246
0.4,all,0.9963149993175925,7300,7327,83.82191780821918,6119
0.4,armed conflicts and attacks,0.9979550102249489,1952,1956,89.49795081967213,1747
0.4,politics and elections,0.9962349397590361,1323,1328,79.59183673469387,1053
0.4,law and crime,0.9941471571906354,1189,1196,74.51640033641716,886
0.4,disasters and accidents,0.9973094170403587,1112,1115,91.09712230215827,1013
0.4,business and economy,0.9981024667931688,526,527,79.08745247148289,416
0.4,sport,1.0,508,508,92.1259842519685,468
0.4,arts and culture,0.9975062344139651,400,401,73.0,292
0.4,science and technology,0.9797297297297297,290,296,84.13793103448276,244
0.5,all,0.9845775897365907,7214,7327,84.33601330745772,6084
0.5,armed conflicts and attacks,0.9928425357873211,1942,1956,89.75283213182286,1743
0.5,politics and elections,0.9781626506024096,1299,1328,80.21555042340262,1042
0.5,law and crime,0.9765886287625418,1168,1196,75.17123287671232,878
0.5,disasters and accidents,0.9910313901345291,1105,1115,91.49321266968326,1011
0.5,business and economy,0.9829222011385199,518,527,78.95752895752896,409
0.5,sport,0.9921259842519685,504,508,92.85714285714286,468
0.5,arts and culture,0.9850374064837906,395,401,73.67088607594937,291
0.5,science and technology,0.956081081081081,283,296,85.51236749116607,242
0.6,all,0.9534598061962604,6986,7327,85.5854566275408,5979
0.6,armed conflicts and attacks,0.9708588957055214,1899,1956,90.99526066350711,1728
0.6,politics and elections,0.9390060240963856,1247,1328,81.3953488372093,1015
0.6,law and crime,0.9297658862876255,1112,1196,76.88848920863309,855
0.6,disasters and accidents,0.9757847533632287,1088,1115,92.00367647058823,1001
0.6,business and economy,0.9430740037950665,497,527,80.0804828973843,398
0.6,sport,0.9744094488188977,495,508,93.93939393939394,465
0.6,arts and culture,0.9326683291770573,374,401,75.1336898395722,281
0.6,science and technology,0.9256756756756757,274,296,86.13138686131387,236
0.7,all,0.920021837041081,6741,7327,86.96039163328884,5862
0.7,armed conflicts and attacks,0.9544989775051125,1867,1956,91.64434922335298,1711
0.7,politics and elections,0.8983433734939759,1193,1328,82.73260687342834,987
0.7,law and crime,0.8754180602006689,1047,1196,78.70105062082139,824
0.7,disasters and accidents,0.9542600896860987,1064,1115,93.04511278195488,990
0.7,business and economy,0.8975332068311196,473,527,82.02959830866807,388
0.7,sport,0.9547244094488189,485,508,95.25773195876289,462
0.7,arts and culture,0.8827930174563591,354,401,77.11864406779661,273
0.7,science and technology,0.8716216216216216,258,296,87.98449612403101,227
0.8,all,0.8831718302170056,6471,7327,88.36346777932313,5718
0.8,armed conflicts and attacks,0.9263803680981595,1812,1956,92.71523178807946,1680
0.8,politics and elections,0.8531626506024096,1133,1328,84.02471315092674,952
0.8,law and crime,0.8210702341137124,982,1196,80.5498981670061,791
0.8,disasters and accidents,0.9381165919282511,1046,1115,93.69024856596559,980
0.8,business and economy,0.857685009487666,452,527,82.96460176991151,375
0.8,sport,0.9350393700787402,475,508,96.42105263157895,458
0.8,arts and culture,0.8104738154613467,325,401,80.0,260
0.8,science and technology,0.831081081081081,246,296,90.2439024390244,222
0.9,all,0.8289886720349393,6074,7327,90.2370760619032,5481
0.9,armed conflicts and attacks,0.8936605316973415,1748,1956,93.93592677345538,1642
0.9,politics and elections,0.7846385542168675,1042,1328,85.79654510556622,894
0.9,law and crime,0.7316053511705686,875,1196,83.2,728
0.9,disasters and accidents,0.905829596412556,1010,1115,95.34653465346534,963
0.9,business and economy,0.7988614800759013,421,527,84.3230403800475,355
0.9,sport,0.8956692913385826,455,508,97.8021978021978,445
0.9,arts and culture,0.7182044887780549,288,401,82.63888888888889,238
0.9,science and technology,0.793918918918919,235,296,91.91489361702128,216
