TH,Class,Coverage,#Covered,#Total,Accuracy,#Correct
0.0,all,1.0,7327,7327,82.89886720349392,6074
0.0,armed conflicts and attacks,1.0,1956,1956,88.65030674846626,1734
0.0,politics and elections,1.0,1328,1328,79.51807228915662,1056
0.0,law and crime,1.0,1196,1196,70.31772575250837,841
0.0,disasters and accidents,1.0,1115,1115,91.74887892376681,1023
0.0,business and economy,1.0,527,527,76.66034155597723,404
0.0,sport,1.0,508,508,92.71653543307086,471
0.0,arts and culture,1.0,401,401,76.30922693266832,306
0.0,science and technology,1.0,296,296,80.74324324324324,239
0.1,all,1.0,7327,7327,82.85792275146717,6071
0.1,armed conflicts and attacks,1.0,1956,1956,88.59918200408998,1733
0.1,politics and elections,1.0,1328,1328,79.44277108433735,1055
0.1,law and crime,1.0,1196,1196,70.31772575250837,841
0.1,disasters and accidents,1.0,1115,1115,91.74887892376681,1023
0.1,business and economy,1.0,527,527,76.66034155597723,404
0.1,sport,1.0,508,508,92.71653543307086,471
0.1,arts and culture,1.0,401,401,76.30922693266832,306
0.1,science and technology,1.0,296,296,80.4054054054054,238
0.2,all,1.0,7327,7327,82.88521905281834,6073
0.2,armed conflicts and attacks,1.0,1956,1956,88.65030674846626,1734
0.2,politics and elections,1.0,1328,1328,79.51807228915662,1056
0.2,law and crime,1.0,1196,1196,70.31772575250837,841
0.2,disasters and accidents,1.0,1115,1115,91.74887892376681,1023
0.2,business and economy,1.0,527,527,76.66034155597723,404
0.2,sport,1.0,508,508,92.71653543307086,471
0.2,arts and culture,1.0,401,401,76.30922693266832,306
0.2,science and technology,1.0,296,296,80.4054054054054,238
0.3,all,0.9993175924662209,7322,7327,82.92816170445234,6072
0.3,armed conflicts and attacks,1.0,1956,1956,88.65030674846626,1734
0.3,politics and elections,0.9992469879518072,1327,1328,79.42727957799548,1054
0.3,law and crime,0.9991638795986622,1195,1196,70.3765690376569,841
0.3,disasters and accidents,0.9982062780269059,1113,1115,91.91374663072776,1023
0.3,business and economy,0.9981024667931688,526,527,76.80608365019012,404
0.3,sport,1.0,508,508,92.71653543307086,471
0.3,arts and culture,1.0,401,401,76.30922693266832,306
0.3,science and technology,1.0,296,296,80.74324324324324,239
0.4,all,0.9963149993175925,7300,7327,83.15068493150685,6070
0.4,armed conflicts and attacks,0.9974437627811861,1951,1956,88.87749871860585,1734
0.4,politics and elections,0.9947289156626506,1321,1328,79.78803936411809,1054
0.4,law and crime,0.995819397993311,1191,1196,70.52896725440806,840
0.4,disasters and accidents,0.9964125560538116,1111,1115,92.07920792079207,1023
0.4,business and economy,0.9924098671726755,523,527,77.24665391969407,404
0.4,sport,1.0,508,508,92.71653543307086,471
0.4,arts and culture,0.9975062344139651,400,401,76.5,306
0.4,science and technology,0.9966216216216216,295,296,80.67796610169492,238
0.5,all,0.9830762931622765,7203,7327,83.82618353463835,6038
0.5,armed conflicts and attacks,0.9913087934560327,1939,1956,89.118102114492,1728
0.5,politics and elections,0.9804216867469879,1302,1328,80.26113671274962,1045
0.5,law and crime,0.9724080267558528,1163,1196,71.53912295786759,832
0.5,disasters and accidents,0.9829596412556054,1096,1115,93.15693430656934,1021
0.5,business and economy,0.9791271347248577,516,527,77.90697674418605,402
